91
0 1 2 3 4 5 6 7 8 9
0 10 11 12 13 14 15 16 17 18
0 19 34 35 36 37 38 39 40 41
0 20 27 42 55 56 57 58 59 60
0 21 28 43 49 61 67 73 79 85
0 23 31 45 54 64 71 74 81 89
0 24 32 44 50 62 68 77 84 88
0 25 30 46 53 63 72 76 82 86
0 26 33 47 52 66 69 75 80 90
0 22 29 48 51 65 70 78 83 87
1 10 19 20 21 22 23 24 25 26
1 11 34 42 43 44 45 46 47 48
1 12 27 35 61 62 63 64 65 66
1 18 28 41 54 60 72 78 84 90
1 13 29 36 49 55 68 74 80 86
1 14 30 37 50 56 67 75 81 87
1 15 31 38 51 57 69 73 82 88
1 16 32 39 52 58 70 76 79 89
1 17 33 40 53 59 71 77 83 85
2 10 35 42 49 50 51 52 53 54
3 10 27 34 67 68 69 70 71 72
9 10 28 37 48 55 66 77 82 89
4 10 30 39 43 57 62 74 83 90
5 10 33 38 44 58 61 78 81 86
6 10 32 41 45 59 63 73 80 87
7 10 29 40 46 60 64 75 79 88
8 10 31 36 47 56 65 76 84 85
2 11 19 27 28 29 30 31 32 33
2 12 20 34 73 74 75 76 77 78
2 14 21 40 45 58 65 68 82 90
2 16 22 37 43 59 64 69 84 86
2 17 23 39 48 56 61 72 80 88
2 13 24 38 47 60 63 67 83 89
2 18 25 36 44 57 66 71 79 87
2 15 26 41 46 55 62 70 81 85
3 11 20 35 79 80 81 82 83 84
5 11 21 36 51 59 62 72 75 89
6 11 25 38 49 56 64 70 77 90
4 11 24 40 54 55 61 69 76 87
8 11 22 41 53 58 66 67 74 88
9 11 26 39 50 60 65 71 73 86
7 11 23 37 52 57 63 68 78 85
3 12 19 42 85 86 87 88 89 90
6 17 19 43 51 60 66 68 76 81
4 15 19 48 49 58 63 71 75 84
7 18 19 47 50 59 61 70 74 82
5 16 19 46 54 57 65 67 77 80
8 14 19 44 52 55 64 72 73 83
9 13 19 45 53 56 62 69 78 79
6 16 21 30 35 47 55 71 78 88
8 17 24 28 35 45 57 70 75 86
7 13 26 31 35 43 58 72 77 87
9 15 23 29 35 44 59 67 76 90
4 18 22 33 35 46 56 68 73 89
5 14 25 32 35 48 60 69 74 85
7 15 21 32 34 54 56 66 83 86
4 13 25 28 34 52 59 65 81 88
8 16 23 33 34 49 60 62 82 87
6 14 26 29 34 53 57 61 84 89
5 17 22 31 34 50 55 63 79 90
9 18 24 30 34 51 58 64 80 85
8 18 21 29 39 42 63 69 77 81
7 14 22 28 38 42 62 71 76 80
9 16 25 31 41 42 61 68 75 83
4 17 26 32 36 42 64 67 78 82
5 13 23 30 40 42 66 70 73 84
6 15 24 33 37 42 65 72 74 79
3 13 21 33 41 48 50 57 64 76
3 16 26 28 40 44 51 56 63 74
3 18 23 32 38 43 53 55 65 75
3 14 24 31 39 46 49 59 66 78
3 15 22 30 36 45 52 60 61 77
3 17 25 29 37 47 54 58 62 73
4 12 21 31 37 44 53 60 70 80
6 12 23 28 36 46 50 58 69 83
5 12 24 29 41 43 52 56 71 82
9 12 22 32 40 47 49 57 72 81
7 12 25 33 39 45 51 55 67 84
8 12 26 30 38 48 54 59 68 79
5 15 20 28 39 47 53 64 68 87
9 14 20 33 36 43 54 63 70 88
7 17 20 30 41 44 49 65 69 89
8 13 20 32 37 46 51 61 71 90
6 18 20 31 40 48 52 62 67 86
4 16 20 29 38 45 50 66 72 85
9 17 21 27 38 46 52 74 84 87
8 15 25 27 40 43 50 78 80 89
5 18 26 27 37 45 49 76 83 88
7 16 24 27 36 48 53 73 81 90
4 14 23 27 41 47 51 77 79 86
6 13 22 27 39 44 54 75 82 85
