31
0 1 2 3 4 5
0 6 7 8 9 10
0 11 18 19 20 21
0 12 15 22 27 28
0 13 16 24 26 30
0 14 17 23 25 29
1 6 11 12 13 14
1 7 18 22 23 24
1 8 16 19 27 29
1 9 15 21 25 30
1 10 17 20 26 28
2 6 19 22 25 26
3 6 17 18 27 30
4 6 15 20 24 29
5 6 16 21 23 28
2 7 11 15 16 17
2 9 13 18 28 29
2 10 14 21 24 27
2 8 12 20 23 30
4 7 14 19 28 30
5 7 13 20 25 27
3 7 12 21 26 29
5 10 11 22 29 30
4 9 11 23 26 27
3 8 11 24 25 28
5 9 12 17 19 24
3 10 13 15 19 23
4 10 12 16 18 25
5 8 14 15 18 26
4 8 13 17 21 22
3 9 14 16 20 22
