57
0 1 2 3 4 5 6 7
0 8 9 10 11 12 13 14
0 15 26 27 28 29 30 31
0 16 21 32 41 42 43 44
0 17 22 36 40 50 54 56
0 18 23 33 37 46 51 55
0 19 24 34 38 45 49 53
0 20 25 35 39 47 48 52
1 8 15 16 17 18 19 20
1 9 26 32 33 34 35 36
1 10 22 27 41 45 46 47
1 11 21 31 39 50 53 55
1 12 23 28 38 43 52 54
1 13 25 29 37 42 49 56
1 14 24 30 40 44 48 51
2 8 27 32 37 38 39 40
3 8 23 26 41 48 49 50
4 8 21 30 34 46 52 56
5 8 22 29 35 43 51 53
6 8 24 28 36 42 47 55
7 8 25 31 33 44 45 54
2 9 15 21 22 23 24 25
2 11 17 26 42 45 51 52
2 12 18 29 34 44 47 50
2 10 16 30 35 49 54 55
2 14 20 28 33 41 53 56
2 13 19 31 36 43 46 48
4 9 18 27 42 48 53 54
5 9 17 28 39 44 46 49
3 9 16 31 38 47 51 56
7 9 19 29 40 41 52 55
6 9 20 30 37 43 45 50
5 12 15 32 45 48 55 56
4 11 15 33 40 43 47 49
3 10 15 36 37 44 52 53
7 14 15 35 38 42 46 50
6 13 15 34 39 41 51 54
5 13 16 24 27 33 50 52
3 14 17 25 27 34 43 55
6 11 19 23 27 35 44 56
7 12 20 21 27 36 49 51
4 13 20 22 26 38 44 55
5 14 19 21 26 37 47 54
6 12 16 25 26 40 46 53
7 10 18 24 26 39 43 56
4 10 19 25 28 32 50 51
3 11 20 24 29 32 46 54
7 13 17 23 30 32 47 53
6 14 18 22 31 32 49 52
4 12 17 24 31 35 37 41
4 14 16 23 29 36 39 45
5 11 18 25 30 36 38 41
5 10 20 23 31 34 40 42
3 12 19 22 30 33 39 42
3 13 18 21 28 35 40 45
7 11 16 22 28 34 37 48
6 10 17 21 29 33 38 48
