73
0 1 2 3 4 5 6 7 8
0 9 10 11 12 13 14 15 16
0 17 30 31 32 33 34 35 36
0 18 27 40 46 63 64 65 66
0 19 24 38 44 51 52 53 54
0 20 25 37 45 55 56 57 58
0 21 26 39 43 59 60 61 62
0 22 29 42 48 50 67 69 70
0 23 28 41 47 49 68 71 72
1 9 17 18 19 20 21 22 23
1 10 30 37 38 39 40 41 42
1 11 29 34 45 53 60 65 71
1 12 24 32 46 55 59 67 68
1 13 26 31 47 51 56 63 69
1 14 28 33 43 52 57 64 70
1 15 25 35 48 49 54 61 66
1 16 27 36 44 50 58 62 72
2 9 30 43 44 45 46 47 48
3 9 25 32 41 51 62 65 70
4 9 24 35 39 58 64 69 71
5 9 29 31 40 52 55 61 72
6 9 28 36 37 54 60 63 67
7 9 27 33 42 49 53 56 59
8 9 26 34 38 50 57 66 68
2 10 17 24 25 26 27 28 29
2 11 20 35 42 52 62 63 68
2 12 18 36 38 56 61 70 71
2 14 21 31 41 53 58 66 67
2 15 22 34 37 51 59 64 72
2 13 23 33 39 50 54 55 65
2 16 19 32 40 49 57 60 69
3 10 23 36 45 52 59 66 69
5 10 18 33 48 51 58 60 68
7 10 22 31 46 54 57 62 71
8 10 19 35 43 56 65 67 72
6 10 20 32 47 50 53 61 64
4 10 21 34 44 49 55 63 70
3 12 17 39 48 53 57 63 72
8 11 17 40 47 54 58 59 70
7 14 17 37 44 61 65 68 69
6 16 17 42 43 51 55 66 71
5 13 17 38 45 49 62 64 67
4 15 17 41 46 50 52 56 60
3 16 21 29 30 54 56 64 68
4 11 23 27 30 51 57 61 67
8 15 18 28 30 53 55 62 69
7 13 20 24 30 60 66 70 72
5 14 19 25 30 50 59 63 71
6 12 22 26 30 49 52 58 65
3 11 18 24 31 37 43 49 50
3 13 19 28 34 42 46 58 61
3 14 22 27 35 38 47 55 60
3 15 20 26 33 40 44 67 71
5 11 22 28 32 39 44 56 66
6 11 21 25 33 38 46 69 72
7 11 19 26 36 41 48 55 64
6 13 18 29 35 41 44 57 59
7 16 18 25 34 39 47 52 67
4 14 18 26 32 42 45 54 72
5 15 21 24 36 42 47 57 65
6 14 23 24 34 40 48 56 62
8 16 22 24 33 41 45 61 63
6 15 19 27 31 39 45 68 70
8 12 23 25 31 42 44 60 64
4 16 20 28 31 38 48 59 65
5 16 23 26 35 37 46 53 70
8 13 21 27 32 37 48 52 71
4 12 19 29 33 37 47 62 66
5 12 20 27 34 41 43 54 69
7 15 23 29 32 38 43 58 63
4 13 22 25 36 40 43 53 68
7 12 21 28 35 40 45 50 51
8 14 20 29 36 39 46 49 51
